address,mARIOQty
-lsIVsCg8OGsxcAgRxp_qvsxZlh5PQ95bJUq6jo51BY,696000000
-lygE79KiIMwqKcLFAo98563h8XBiRORxaojz86FJc0,539000000
-mB77fWPrZ2UYYx41QEOHDavPpTsQdw2dbM7MZIDFr4,800000000
-mVgqisa2AfUPerVR7lZhwTgsIDV4pFJCWll9SVw4tU,487000000
-n2PVwuWJcBifiPhA2TmNKcOmqt-3UUqwkInbuvw5bM,869000000
-ncv603ZK9BBjSV9OpnPQ-6sMwEKjCse7FIoF3XW0rI,348000000
-oM2RNQGCCGON4JB6T2mMjC_o4VUkgcNoK5zQ7sf1Os,5631000000
-oy1ALPYcpsg9AgrOaXM1YBD-jE846LtzkuPNqyF4kU,2016000000
-qFD1MII0PtppZqaeqqniDS8taYZp9Kw84amFDHAB-Q,3129000000
-r-lvPUhVNgrFKtaRJfuDq8FYkYZNp22Jvu13S_bv6A,696000000
-rPbiW43XcTf93HjCQQepottB4NtA1-6ItH7fMzfBVE,1912000000
-rnzVqb4d-2_c3OyIle00wLKZV8SzIemwF03cJh_KIk,348000000
-sZ18IlqL3s5RHm4qkgYulS5lAqOiIZypIRAqwktDT4,783000000
-sqMl2Vi_Qi7aqy2Vu_KHJWhC5OBmOicRfZFVRml6XM,522000000
-suIQhxpFPARgoGnYNSDz9YgCDxeRBCcUGVJ3NYCigU,1634000000
-tEMVxV7qUWP0e4skI7QW1N7VcXOvhu6_b4uQHRjlcs,661000000
-tbo7mjrJMWlbNwvXS0I8J4bn-cDR6IN033vTJdgNKo,348000000
-uT5V9ulg-2DsfLpJ0OOzyf083o8oRvfYuaTCgm6J6U,348000000
-unPHc-2OWZISlyOwcbrn3J4kV25pK82suImzw_1jb8,869000000
-vziv3Qx8tyx8wUkRD011hMogRVuS0uPqb67ucxPk80,956000000
-xGNG6K0CJI752mWKLQP4WgoxSVZGNb04zBuI_28aLw,696000000
-xfA_hUU-w6LJ6A3-SNrVxwn2G2N81KeSmJ9BzAsCkQ,383000000
0-1op9i5mi2_Wm18nXbNyu4DP0XFzz1C9Q55XFADmmA,1165000000
0-2dRE-0gXyZizlxXxnUOJeDMU__urD-3uttXUyrXfg,348000000
0-hvv2IiEQ5BWNoLT0xp3JvC2ljriaIaE4V_0TnDyaY,696000000
0-kBoWJUJfLuK3FkgKNbASo9dT0_5FeE-ioanrK7qGA,2086000000
0-wE5IrA2dwdCpelUoAY55ZxrAr0cYfpfGsmE2hDvYE,869000000
00fKhB_zoQmJA8MTPO9sKhMwhybKrGEdWfMyWc4A5Sc,452000000
00gwYMf_zyyhLNH11XIjy3rCxVnHopAhknuFGjE7-uE,470000000
00lEm1ALKGodZ8E9_IDD6tzNa6gg_C01jjpmL60c23M,348000000
015Jqrw3KW3QqWq04zDcEVR7MmMMfVU5IVYEo7AzWRA,452000000
031lvKx9CkMYmN253O5PWMnLgTYS1TCYYNkAWeM_3A0,348000000
032a-inGYw5SwPMR5SHDU-cZRxIOaYQba2g2TfQ1-sc,348000000
03DBgFtjRkTdXIq-N8CLB-Jj42G-rzbdu_Ywx_4mcY8,348000000
03KWh4lnf-Bx_747QM8iDD3-E3ATE2_GzIi6GypWf_k,696000000
03O7qM2qYS9JuLOWppjN3RlOF505JYs7d91p9aijRhA,696000000
03SrkLwZpYb0lM38u6IkHXVxuXhCVF5KYyhYVPuSSQA,696000000
04GynWf2WD9aquq3vcl0OIHWx3JfCET-4iDBxZ33jec,452000000
04YZUcSurT0vgDmIFJ_z_t7jSgZ7jcczYdItNd0OPZM,452000000
06C_C9vhIpi78M2gv-ui3SvMkQoHZe0rE-5HD5IHXSk,1912000000
06HSeDrX99slglv5IgDHxYmFhDzMQiwQxRib5obFoQg,522000000
06oFnBA8D0mfJC7AD77-e0tHJ9G7TbeJKoe2mvMArGc,1165000000
08IqkTu1LnWxdMTmxQ65m9QY-Agf2uGiNBCJDW4RspA,1391000000
08VfNF0yh48RHEQxuaW7h2ILxT_Pn9i2uAralnLgSlw,696000000
08YQ2sgMDixtk6LkUdc8ifCp7XoWMpk56xYz3eVfT8c,1478000000
08_7AGlaY7R_AG3FZPZuleM1dcqPTDwLV4s8DZVO42s,470000000
08ewB2AJyQV-96iBgkXe_VWMDMJlItekBLobU1ThR1M,1565000000
099s6zvLO4Zd66icdcNNvZD84mZrcsi8LRyJ0h3pne4,783000000
09OUHq_KKq7ocOvpOhpgIO2E_U6e0hXK1k2OwIH66GY,696000000
09iBnWrBEui8HMoM2aAsrwcL5JO7Sm-giqJZueV1eNg,1426000000
09sFnuBtavf4nglltmISYZ_6tyGBp-q3vT6p9O-iwIA,696000000
0AP1YksXk9tKSOFHmFGvmlhQtVYwQD1bkLTffc0vTTs,522000000
0BI209sU-T8_0W1I9_LpBHWpW3tXo2OiKDL4P7PYU3c,696000000
0B_kf_61K-hqWlCGHF2OxhzE2UaElEfxQ9ZkeGzDyTQ,1912000000
0BjEclnYxvCzFb2BhFEuv9J3ZCZdjZ-A-zdJfv3OZXM,1356000000
0Bx7zSgSFIPxZQknThHKchEr0W6NBFBafWOWVFigQA0,713000000
0CCnDx1dmb1X7ODM2Fm94DuEY2g07f1aRCHx_ennNhw,1634000000
0CXIVBWdaEF1Ee5ceZzZlWfZYrmMfIHSWIqJmlp_5Fg,1912000000
0CgusMAYmJ_k3I-OXga2ytFa8-4dPqUVVmE9JcnGAFQ,696000000
0CtakDn0zFzGhBK9zVHKhNQA2NZ8D32jm_irl0XmQ3Q,348000000
0D98Xho5Z7ZaLUSN_6UBcusyxO1YbLiCbSigXWR8GnI,348000000
0DxTVWjCDG2oTT_RIhFjRENTTBmiN4xjffuAoc-DbpY,1234000000
0EHqDnE4Mx7buq4eGsj4V-KU4P7kRgHHFtwU0900xzM,1095000000
0EoZIg3FtzbJ-HfpZ9_dVJb1T-rbVBKb2aNZnzZ8A2o,1008000000
0F1UHKQs6der0bY0EeGLFevfMPbgp0ws2p8ny7gGidM,609000000
0F4l4xxooCQeQiw-ObnKHTeoZYdD0oOEDtQJr-bIJms,696000000
0FL_JiGNFwtEd5-l_hMYOQzK6rLSv3OjMcCPqkgFThM,2086000000
0FUnsemEbEcV9bzR689LjNVwDLdiVIW3_9UoWY09GUM,348000000
0FoBEn6B5B0QG2gmsBBHciW_jwVYQdk9iOSObOvK1Z8,348000000
0G-GyK1s2CQtC2pEIrQAS1C_quYfB1WfqAyUg7jlJk0,1877000000
0H0bPl_nwl0lxI7CSfiKjYT8a3Zbvfr2y5hEwqdfOdI,991000000
0HvuOonxQCkxKdiZIS4kyvdBGfCqXrwJ0kzPLvbBfds,1356000000
0IIJbni2dHGXUFsLKuWr7btGLJaXF5rBRbj2nNMHiVo,2781000000
0IUi0sZVyQVxyYcM1Z1p9zZ0J2uKWKFjVzPiy99vPq0,869000000
0IdvaOMWoDujH9K91J2TgkAY51ZZOFeUKOS-LL96kKY,696000000
0IgYYVOhbkl8EXMU6RyZG31ITw5agq79nm9haWObgQg,1043000000
0J49PS97l7XWeukIxTga2ZP_mzpxyiIw7QZXOD24gQk,1860000000
0KNB2grkIVx1QOeLXWLD_tuts9m5raGtv9G5lSeATnI,696000000
0KT-9DJ0PbMcwv1V6LEjsKJpmRZZY9QhyqXETyIWx5g,1043000000
0L7X3aRCTNjUovNlYS5AO1-gLZ_kvoL-RFKRn199HdQ,348000000
0LXGhKu3zZXStq9JTPsahInn0lyumV1fY5m9Drk-MrU,348000000
0M8Ot_FprUkVd0eqG2nruSH-vxavRAAEJVtY863Bi88,348000000
0MH0d9yXh0lyedwmyKwKHuNjNTIFcnJjvgJSWjn1-OI,696000000
0MZpCd-wWXhayK38ZJ5TCtN9gKDYHkhoV5xtA9eNAHQ,9976000000
0Me-HIGQdfN37a4TLwNjK2Mp0JrFNIm_Hb59l--mVKQ,1912000000
0MedRKu_lXQNrZr1M6WQu5YkuFXOF8j-FOGp6rP-wHI,696000000
0NF7yBCOrDN7mtcVXQSdKpJBBl4pZjVcubbU3oYmEys,696000000
0NGPg29uEFAD4CXJaG-9FFp39unh5fmM1P8vm17cGAk,1478000000
0NTIeBfKoVMh_cJW2QsGpIOWwd0P6xXoZOo9pT4aM28,696000000
0N_n3gRF2Zx8dOr8Nra_UhN-SP6KL82eLWpajzXLatg,470000000
0O-nuSCDXcEZ_BZnxcGdWd-xYhsAfUWYlC6x9BQ58Zw,348000000
0PV0bHg67wxAXMoWajXN8tFBThniCmXZEXzbswY-72s,696000000
0PYt_tPXSDd9dEtn9wUsC_o8w3yZg2IdhFGmqhEdGYM,922000000
0Q6DsRn8p77cwbTwMgBVHjLT_0vuxM_83qCtFAdulDM,1738000000
0QC2ZpEz8B8_l2piq0GeXv0y_SNrbfz1gLR3-5VNOxI,348000000
0RWuHL1469WYh146-x-5IKtes0WQweqv8d9OehyxFKw,12513000000
0R_6gCL6OZieUp36ubA_KeGcFeVsiLUCZOsL5NAuQYo,3303000000
0RwaG27wKvNMEBL3KyM-q-9ibF3OtimqX7ics76Blvo,435000000
0Sfzd7dGUrrFP9LIF0PZnk58yMQpbka6K3HeJkmTl2c,1078000000
0UBRvx3FhogypvDLtie2JePhz5nJF8HxdPgtHvxZ62M,696000000
0UFKqD8jYKD0sc8N5UTIZ917nRdYcDbf5lV5I9QtL1I,452000000
0UU6I4Ty-KNoObPEkgdhdeLycTA3NLZhX5h2W7hZH84,12274000000
0Us_1Yli25PR8V42bbRKIyNTR6AJLzq_AxGRu9MNMo4,348000000
0V0FV0vw_8OdmqbQKFGjPPWXMwMyioR3noYG2wPG6A0,348000000
0VEA3UwHHMpeeMlNK9K5picv21UlFFQ_rrxpJu6KULQ,1565000000
0VV_aSFcKnn_licHg-Bc9oqvRiIz_ZZBdFwiygG_IpQ,1478000000
0Vrdm3W_PRnYXAzfdkKVod-DUulnqC4Uj-VLyNKD1X8,522000000
0WMTdsbmcGUMop8x1cqf7Zsf-qDHR4BjhcN2PIZddvA,1877000000
0WptV3js1nd4H5nUQoAeCRvo-WLb58O192gaLvxn_Lo,348000000
0WvckfK-WlpxhgSvqo_e8zIvuoHqW1r36YzBCshNXmU,1182000000
0YQX82ShbPHbwFjxENnhfyjBdP_q1CQ492ctVpKovtw,348000000
0YSy0NgB8F2U8Oaf_GVjzBkTD_al6PXOTDEu2JpInEU,348000000
0Ys6IWbem2rBkKO1gyQ-boap42SRYnjBQ4FGT4stkww,348000000
0ZEFQytb-PNCPfxMG73Vzu4-N1uWITJzCkttATggmvI,696000000
0ZXRu26_WRZ19IYVczYfgFG2Tml4Ll0XFP1IbnDCA34,1217000000
0ZvVTmW2ak5nySqyi38KQhzCim6HCzF9oqBMQZw_DaE,348000000
0ZwmE35Fri39RwGHO6ra__8ahQqG7owu8UF4QYLK70Q,1877000000
0_3kcpOofyD5fCLseeAQqJuHHBJUsMDMA-nRXObzWpk,922000000
0_JOdz0EvXNspnQtuSgHdDN6gjOTtJ2VrF01NFmHZRM,5666000000
0aNfL4tqCiRwh9THRL99NX_ks-mWwVXG4lXe9fiXRKs,696000000
0aeZ3wxSh6Q1PHBNVAo-KDAzJGtHjw_ix9bAxwohj2k,348000000
0am90J-zJUS6fKtG_3vMAipqO0bYBdjgQAb3QK4wpQ0,696000000
0auEwSxirDa2E0hSABD3RqZik0C_YnL-M7awUIaXG-I,1217000000
0bBA0lPWB_9vTG-mmXJE4tf0Ba-XaQDlBjQzEr9V6ck,800000000
0bHpYyhn2Z_JH25pCWku7aOKdyWnxdRniGQysIQ1luI,435000000
0cZrJElUNkt2Nj5SH6YIupFEsjLLx_F15vEHaflLEeQ,470000000
0d6nvDbQ3knW1XkVmMJKfUero-G7SlV2CZEebKUPi8Y,800000000
0eTcx6RoAPHri9ZJPe1WF865v5Ly4twnwoc8QceSTNU,696000000
0fZYrE0r0peOdd7-6KuBRONyNWZtUOC6IpJw5qOiLSE,696000000
0foxKl6NXhOU0hBR10ee2h_9EeRjo9ttfOpG1diHsPI,696000000
0ich7Q3Msv0AYjJCp20BKzjZ6jvAidwbZ4ODbmFM1Fs,348000000
0j4dHICOZ66TDuAKh30hfs-KTwhWFIbY27RC3TzAtYI,383000000
0jLY35rgGg3ak9TvGGK-wfNRdofRUEqfCk2FkPDvq8c,869000000
0kIr4oQ8AxORNM4TZYd2-ywG2mbaXF6rfJ5EdCms4lw,522000000
0kkYwC1S9H-5kwzK3OhQljMvKOSG2BeYyXZC0tL93zs,6257000000
0kvyO99G_G2mBOCE4Dgiwj5IUyUsH8q87-SMTt9lkZ8,696000000
0l2K8ebz_Xido2w_gzdFYk5f9lK8qhFXFuuhhPCA7pU,696000000
0mQsg5x4psZ-Iylarid_1UCs0oDCbaSkNfsIL0cDAcM,696000000
0pCbuNgUCx1WNiBwXOq0DP6CFVOkhZ5qd1DgxAX0KvY,348000000
0pTx_RsWwvmZ08IXjJXCauo_mK2K-WcJDkgDMSFwRXs,1912000000
0peMdpJGaeKOfr7bD2ZsvtjmUMH1r-UR2B71su1agTU,348000000
0qwBExthUFJibB23Ron3i_rv1u3JbHV0OPLs1VYddd8,661000000
0r7gGPUE8q2YvPuEc7rvhsnfG_nyusF665rOVb8syzs,730000000
0rcv9q70LsE-uD5untnL_BRDNQL5p56d1XC3LVF4sN4,348000000
0rmJGNiClIETu7Jlm-YlQtCB4wcNeWgdspwtlXyuhPc,348000000
0ruaQ40mWpRA7yddQIkyVviCdgQFvStcQeHmOvlQAXU,348000000
0ry9pR2If2x6gm5Y19Ip6SxKz3zXdhKpmlf5kYCXgcs,1043000000
0sIYgexBGf1vtnOfU5WovYDr0ViqrecIlLbWEafZTcs,696000000
0sNSZbIC9mZ4IgbB2QPVf7XckAVJFDEoRIdlcGXKWnE,696000000
0tIvZUSHVbENz8Y9Fu23lOLNlv0_w233e8SL-mIe4-w,348000000
0tX7ilcn70W2orPTzs2QFqCJAJ1UwV6RI8hDi5hrluE,922000000
0tt1LQG42QefqmW-1po2C_w1eSXVLUVnxQjEKSSCdnY,348000000
0u12vdwZRIl6p7W_yDudEiXiot1ZMhZCTeI3mJjt31g,783000000
0u9axI8Osra52oQcPeRWgQ3lsh5j4BNaXxGJn6Uf2X8,574000000
0uKNC7Xrk_CWr2UWty4tQ35O0rhJxpwAJk8ZwCKKz9Q,1043000000
0uaon1Oyub2aII-_yHqy5IynqBAr_8-42lVGsMmkAcY,348000000
0vIBcBVgAqzSwwP7kHgsJPQcB0GBhIfCkoD8fanQZI4,800000000
0vdlD3X1iJX4MEgAluMf9dFa-f7Tp7NX98_rnmTIu4I,1113000000
0wgrJ5ej-bLRanki_6ZgXafR8ibfPgWbiVsen-_W6-w,869000000
0wzFqCQKgsf2sHHnm6jPLD4JLjrzE4rz1nwfLCdpZiM,696000000
0x01E92aAC5B9F03F0dA255BB97dedf1E57dAbaE79,348000000
0x4002ED1a1410aF1b4930cF6c479ae373dEbD6223,348000000
0xFCAd0B19bB29D4674531d6f115237E16AfCE377c,1043000000
0y17qXDj_Yb1Guy3IcycUnZj58a47g12HXP8ZUbeBl0,800000000
0yTSTgkCdcgxZHshUDHobfo_sHzW7ZIbqse8eMy_wJY,7300000000
0zm46o6mdC_4iOKSibAcSovywO3Ajte14MCfS_H3kx4,348000000
0znPHnw0LTTLkDjfHU18969VAWMSvxfb12csjIWjeRc,696000000
1-Lytw_50FeilgR8aknTvXVvjEBWPae4ji62FrRBE8Q,696000000
1-UxB-2gQ_TkfoXzZSYe702nQrRn-K1liD_H7JjY7yQ,696000000
10O7ticnvAS7R4Y5YUrGPM-vKWOhGY0GntDznM5iAZM,348000000
10kPqPPU39JJUzJVZAq0FfWV7tZZ5yIFxNoNGdG_F_E,696000000
10rkZ7kluTcZbsJau5a_8D4UcWAaD1YwOmg30DEcVX0,1912000000
11AaiihRnsw4KW-b8ji4K_pExHInCg-jDe45iWQt2A8,956000000
11X1UPWUAGzWX7__EcVUU7uAbGN5P9LngHprlqBfJI8,1912000000
11aQGKQFSHDgu1w2Rzt8QBNP2a2Bf2w6u1GH7UBIMwo,696000000
1279MUKq22zrvqfZSoAli-Xda5pB_m23FtBNhKldsC8,348000000
12fWLKiWXsvvYId3el3RGIva3iLaiwV0Lzaeub7SzVg,696000000
12zC_kyCC9trmJxPN_zpMd-6-3VE4kS6vUr87grlKuk,574000000
13PUtkN4CAO6MeLfEKxb3OpoM5V8DMJK7eSH61BHYjc,696000000
13Rsy3dXqj5NyZPzVs_cMtB2_VXDt4xHqodQFUxXvR4,435000000
13fBunGopN7Ag5v7R4V0V7XX0Ux_qPZjXB_68ppipm8,522000000
15naaqUuDC8-SpuiauFdXIt0PE_u-HmagJo6pXft1TA,869000000
18HyPw56Ifsj8WQwWVmWSK5RDhUrnK620sktSvNKDWM,1791000000
18_lJbSCLvMq6xiGo-5eqQOzDLOyzpIdetZYHYCAqrM,1912000000
18kTsXHPx1NtgY-SuZ-cs8DoqURthvbZXj7tFCMYbNU,869000000
18mN7qdj8yHyfkwIjQDPwEZI6YvEuU1hNe--nkJfqO4,696000000
18s6hI_TxIfZSAcBxpGtc4foBwsetoxgbxMjUpmerq0,1912000000
1AWxvxyzqe4gyas152uutSSR5U7Yf30X5lbGJiAP-iE,348000000
1AnAzqXWCufIOJjtpNuJS3sGDi3BvmjnrXJJoMspOfA,383000000
1CQPjNQYhoNwxh3bjZM6CojshAmPunOZUekCA92U-hI,522000000
1DIWAnZ7ZBDHnRnO7PjGTtBHtWKZIjH-3x0IxIJNmgQ,470000000
1DYkiuWleyNjYtsdEpiuOW9uTxpi_3AxnoDH6McPTPw,1738000000
1Daacp-CTbMzlJb-OUFmAzOM2PizJimoF6Dx4FLXy98,869000000
1Dlm8tJe-nM7eYI5ZudBGEwWcFW62fSvlyzZV7I3Ac0,522000000
1DoHHUFaRHRI795o6PuvHas4zMuZpfLriL9xnzxmcZ4,348000000
1EI34dALuPoeQYHoFSHrq5WUh006rMKmTb1eNx1PVD8,2260000000
1EQ4K7gxuugjltawGCshQYtcBzH_x5GtFm194POd2BA,1043000000
1ESUCoikPZh_lVjHYvkwabNPc9Q5TArj4E9dWOyD6e4,348000000
1EcLSWnwDuUvKV6Mtk219bVRe8uecrMmckVLGLMc1fQ,348000000
1EqRXwxLEFwOyIOkXWRqeFyiSZWVLaddgMmLjQCZtIw,800000000
1F0l2mJEDvumnfLbQFxtKufr5nV4pGLO613UMiWF-DE,696000000
1FJs0a8viEsgE2Ih7fj7L59tRLr0XAlgB0eSw4-Vs7M,696000000
1FltBXjOY2In-kG7cOpbBv8DajmlLKM0XwAm6PgGoMM,696000000
1GEWGcj9IEkOJ5XPQQuxkplZgYMyavc56Z3tTzaJhEM,2972000000
1GKfbv8uFOeH8iVhpQ742HLIR0Rj3_Jduxkl-LzWU-w,348000000
1Gbfl41zkNQ08Lakwb-xw2mfycRX7MizipWMPy5mSIQ,2468000000
1GcNuS45gGnrzp1l31wrjy1b9X9dvpRze4nuHSou330,699000000
